tick,hand_id,phase,grasp_state,vessel_proximity,ring_tension,support_polygon_margin,balance_state,tip_force_scalar,bimanual_cumulative_force,estop_state,collision_state,q_arm_1,q_arm_2,q_arm_3,q_arm_4,q_arm_5,q_arm_6,q_arm_7,finger_force_1,finger_force_2,finger_force_3,finger_force_4,finger_force_5,ee_pos_x,ee_pos_y,ee_pos_z
0,L,1,tripod,6.422,0.0,39.98,stable,2.6958,5.3916,armed,clear,0.00536,0.10471,0.20449,0.30543,0.40822,0.50942,0.6093,0.4951,0.6336,0.587,0.5319,0.4482,15.577,-29.357,-40.264
0,R,1,tripod,7.701,0.0,38.011,stable,2.4707,4.9414,armed,clear,0.00544,0.10408,0.20701,0.30418,0.40958,0.50533,0.60067,0.4866,0.518,0.5632,0.4665,0.4364,15.128,-28.878,-41.312
1,L,1,tripod,8.251,0.0,42.876,stable,2.8716,5.7432,armed,clear,0.00998,0.10576,0.209,0.30702,0.40686,0.50104,0.60076,0.6256,0.6497,0.5557,0.5605,0.4801,15.54,-28.222,-41.485
1,R,1,tripod,9.488,0.0,41.486,stable,2.7377,5.4754,armed,clear,0.00152,0.10069,0.20169,0.30008,0.40223,0.50776,0.60687,0.4518,0.664,0.5253,0.6047,0.4919,16.569,-28.626,-41.861
2,L,1,tripod,9.107,0.0,40.287,stable,2.9922,5.9844,armed,clear,0.00279,0.10752,0.20986,0.305,0.40748,0.50369,0.60251,0.6776,0.6947,0.6281,0.5772,0.4146,16.658,-29.98,-41.21
2,R,1,tripod,6.484,0.0,40.32,stable,2.5258,5.0516,armed,clear,6e-05,0.10426,0.20662,0.30473,0.40644,0.50313,0.60153,0.4771,0.6148,0.5132,0.4251,0.4956,15.809,-29.217,-41.712
3,L,1,tripod,8.259,0.0,39.009,stable,2.5395,5.079,armed,clear,0.00136,0.10889,0.20925,0.30321,0.4064,0.50811,0.6025,0.552,0.4566,0.5121,0.425,0.5938,15.491,-28.174,-41.943
3,R,1,tripod,9.758,0.0,39.96,stable,2.8797,5.7594,armed,clear,0.00021,0.10886,0.20212,0.30417,0.40075,0.50421,0.60042,0.5201,0.4403,0.6714,0.5482,0.6997,16.125,-29.144,-41.886
4,L,1,tripod,7.07,0.0,39.759,stable,2.5161,5.0322,armed,clear,0.00262,0.10728,0.20567,0.30474,0.40512,0.50908,0.60216,0.583,0.4987,0.4991,0.5074,0.4279,16.207,-28.617,-40.85
4,R,1,tripod,9.007,0.0,41.013,stable,2.8743,5.7486,armed,clear,0.00782,0.1016,0.20458,0.30299,0.40406,0.50921,0.60993,0.6248,0.553,0.4678,0.5342,0.6945,15.675,-28.76,-41.077
